,Strategy_Equity,Benchmark_Equity
2024-06-28,1306759.875,1280275.6
2024-07-01,1303657.875,1284894.2
2024-07-02,1304534.125,1298857.4
2024-07-03,1293266.5,1310407.1
2024-07-05,1294375.375,1323419.6
2024-07-08,1293966.25,1332470.0
2024-07-09,1288454.25,1329987.1
2024-07-10,1282710.125,1342081.4
2024-07-11,1298776.875,1312179.6
2024-07-12,1305521.5,1321817.6
2024-07-15,1292526.375,1327210.5
2024-07-16,1297980.0,1322938.9
2024-07-17,1300866.625,1290687.5
2024-07-18,1347561.625,1283799.6
2024-07-19,1340928.5,1268154.6
2024-07-22,1331233.75,1284929.5
2024-07-23,1338039.625,1274508.9
2024-07-24,1329969.625,1241456.6
2024-07-25,1357150.5,1225624.8
2024-07-26,1333455.25,1235716.6
2024-07-29,1341057.5,1233447.2
2024-07-30,1353941.125,1229229.0
2024-07-31,1334040.5,1268955.6
2024-08-01,1345036.125,1220258.5
2024-08-02,1305289.0,1194735.1
2024-08-05,1256796.75,1180345.0
2024-08-06,1226577.625,1165767.8
2024-08-07,1230455.375,1152445.5
2024-08-08,1226488.125,1201810.1
2024-08-09,1214923.5,1203011.5
2024-08-12,1213086.375,1205841.5
2024-08-13,1211201.5,1235983.6
2024-08-14,1225682.75,1235609.8
2024-08-15,1222675.75,1268154.6
2024-08-16,1218449.875,1266232.4
2024-08-19,1202406.25,1284814.1
2024-08-20,1200877.75,1280465.6
2024-08-21,1195075.0,1290367.4
2024-08-22,1205022.0,1271198.2
2024-08-23,1196972.125,1281690.6
2024-08-26,1199847.5,1267620.6
2024-08-27,1186902.375,1268822.1
2024-08-28,1186408.0,1243619.2
2024-08-29,1189209.5,1259104.0
2024-08-30,1185636.5,1271518.6
2024-09-03,1231140.5,1229469.2
2024-09-04,1185202.75,1228000.9
2024-09-05,1182868.75,1227119.8
2024-09-06,1205334.125,1192795.8
2024-09-09,1207214.5,1215079.1
2024-09-10,1186096.875,1223302.0
2024-09-11,1181328.875,1250000.0
2024-09-12,1151552.125,1263710.2
2024-09-13,1146573.0,1267247.0
2024-09-16,1142313.5,1263455.8
2024-09-17,1134657.375,1265511.5
2024-09-18,1125080.875,1269623.0
2024-09-19,1114766.625,1288498.5
